Year;The organization works (1 - works, 0 - no);The organization receives agricultural production from the activity (1 - yes, 0 - no);Number of workers last year, persons;Average monthly salary of workers last year;Size of acreage last year, hectare;Conditional livestock of farm animals last year, heads;Quantity of agricultural machinery last year, pieces;Cost of fixed assets of the organization last year;Costs of production of the organization last year;Prime cost of the made agricultural production last year;Proceeds from sales of the made agricultural production last year;Profit on realization of the made agricultural production last year
2017;1;1;16;15000;803;178;16;11930;16976;8969;10097;1128
2017;1;1;21;16666.66667;564;263;14;24068;23750;12150;12438;288
2017;1;1;55;18104.54545;3696;808;31;68374;72290;45794;47936;2142
2017;1;1;9;14787.03704;662;0;11;12305;11228;8153;8603;450
2017;1;1;5;15683.33333;616;282;2;21102;7459;3347;3003;-344
2017;1;1;4;9000;150;0;5;4640;1431;1384;2289;905
2017;1;1;14;15452.38095;430;209;7;4275;10634;7119;7488;369
2017;1;1;12;15465.27778;575;210;10;23980;14150;7733;5349;-2384
2017;1;1;85;22974.5098;14890;0;44;247679;190300;112236;127475;15239
2017;1;1;7;17047.61905;3318;476.57;13;62824;29103;19956;18280;-1676
2017;1;1;31;15112.90323;2870;748;10;26842;44979;19813;21905;2092
2017;1;1;5;15583.33333;2148;0;8;43233;20786;21654;24684;3030
2017;1;1;8;14031.25;461;0;10;6232;8920;5104;6205;1101
2017;1;1;122;21165.30055;17252;0;14;31150;442816;288088;319131;31043
2017;1;1;7;15119.04762;1997;103;6;14091;9734;8680;7417;-1263
2017;1;1;1;14250;1114;0;17;1729;2288;2609;2613;4
2017;1;1;3;15000;2166;223;7;12284;25625;11625;14647;3022
2017;1;1;3;18000;4536;0;12;25288;22468;22447;24239;-1792
2017;1;1;18;16194.44444;5495;817;13;106698;88099;82661;89644;6983
2017;1;0;1;34416.66667;206;0;0;400;3071;3071;2387;-684
2017;1;1;48;16939.23611;2215;0;10;83228;50894;39127;36715;-2412
2017;1;1;14;16107.14286;1183;0;13;21658;13503;9639;11702;2063
2017;1;1;46;20061.5942;2657;129;25;165457;47408;4378;5243;865
2017;1;0;6;8597.222222;2563;0;7;16828;5246;2406;2406;0
2017;1;1;19;14460.52632;1545;191;12;15433;24816;19935;28569;8634
2017;1;1;48;16939.23611;2215;0;10;83228;50894;39127;36715;-2412
2017;1;1;3;16666.66667;1370;0;10;19957;9869;7648;7964;316
